Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1987,Middle Atlantic,"955,999,657","290,221,792",Commercial,"433,639"
1987,Middle Atlantic,"283,452,760",,Recreational,"128,573"
1987,New England,"551,470,252","522,200,339",Commercial,"250,145"
1987,New England,"81,606,115",,Recreational,"37,016"
1987,Pacific Coast,"938,424,730","455,177,827",Commercial,"425,667"
1987,Pacific Coast,"38,331,513",,Recreational,"17,387"
1987,South Atlantic,"254,972,303","169,051,944",Commercial,"115,655"
1987,South Atlantic,"102,439,577",,Recreational,"46,466"
1988,Great Lakes,"790,730","394,190",Commercial,359
1988,Gulf,"1,904,394,128","714,252,198",Commercial,"863,828"
1988,Gulf,"54,985,533",,Recreational,"24,941"
1988,Middle Atlantic,"892,172,065","283,276,572",Commercial,"404,687"
1988,Middle Atlantic,"148,360,851",,Recreational,"67,296"
1988,New England,"571,319,030","499,953,611",Commercial,"259,149"
1988,New England,"67,671,854",,Recreational,"30,696"
1988,Pacific Coast,"1,000,028,395","459,833,877",Commercial,"453,610"
1988,Pacific Coast,"38,968,510",,Recreational,"17,676"
1988,South Atlantic,"289,791,691","188,195,958",Commercial,"131,449"
1988,South Atlantic,"43,110,161",,Recreational,"19,555"
1989,Great Lakes,"605,505","442,646",Commercial,275
1989,Gulf,"1,780,719,928","692,346,094",Commercial,"807,729"
1989,Gulf,"182,348,185",,Recreational,"82,713"
1989,Middle Atlantic,"964,265,151","294,339,778",Commercial,"437,388"
1989,Middle Atlantic,"166,838,453",,Recreational,"75,677"
1989,New England,"576,004,325","523,125,914",Commercial,"261,274"
1989,New England,"57,639,080",,Recreational,"26,145"
1989,Pacific Coast,"1,094,148,581","375,722,981",Commercial,"496,303"
1989,Pacific Coast,"27,039,136",,Recreational,"12,265"
1989,South Atlantic,"263,083,516","188,098,486",Commercial,"119,334"
1989,South Atlantic,"115,133,391",,Recreational,"52,224"
1990,Great Lakes,"625,953","483,789",Commercial,284
1990,Gulf,"1,659,732,834","667,346,642",Commercial,"752,850"
1990,Gulf,"163,296,835",,Recreational,"74,071"
1990,Middle Atlantic,"1,083,106,136","314,577,883",Commercial,"491,294"
1990,Middle Atlantic,"109,693,559",,Recreational,"49,757"
1990,New England,"668,427,208","557,736,020",Commercial,"303,197"
1990,New England,"48,336,583",,Recreational,"21,925"
1990,Pacific Coast,"978,660,257","356,162,959",Commercial,"443,917"
1990,Pacific Coast,"1,203,357",,Recreational,546
1990,South Atlantic,"270,678,135","179,312,780",Commercial,"122,779"
1990,South Atlantic,"100,802,055",,Recreational,"45,724"
1991,Great Lakes,"849,139","625,569",Commercial,385
1991,Gulf,"1,672,274,707","681,223,248",Commercial,"758,539"
1991,Gulf,"215,037,615",,Recreational,"97,540"
1991,Middle Atlantic,"1,005,602,651","297,835,926",Commercial,"456,138"
1991,Middle Atlantic,"126,450,523",,Recreational,"57,358"
1991,New England,"671,811,559","600,160,330",Commercial,"304,732"
1991,New England,"52,526,787",,Recreational,"23,826"
